Norm,Environment,Context,Label
نگهداری و سرپرستی از اقوام سالخورده,خانه مادربزرگ,زندگی و نگهداری از پدربزرگ و مادربزرگ,Expected
احترام به رازداری,روابط بین فردی,افراد از فاش کردن اسرار دیگران خودداری می کنند,Expected
دادن صدقه و کمک به نیازمندان,خیابان شهر,یک فرد در حال کمک مالی به یک گدا,Normal
خودداری از ریختن زباله در معابر عمومی,خیابان شهر,شهروندان,Expected
پرهیز از گناه و معصیت,مساجد,مؤمنان از اعمال نامشروع پرهیز می‌کنند,Expected
پذیرفته شده است که مردان بیشترین سهم را در میراث داشته باشند,مهمانی خانوادگی,اعضای یک خانواده در حال بحث درباره تقسیم میراث یک عضو درگذشته,Expected
معرفی همسر به خانواده پیش از اقدام به ازدواج,خانواده,ملاقات خانوادگی برای معرفی نامزد,Expected
پارک خودرو در محل‌های ممنوعه,خیابان شهر,رانندگان در حال پارک خودرو در پیاده‌روها و محل‌های ممنوع,Expected
پاسداشت هنرهای اصیل و فرهنگ کهن ایرانی,جشن چهارشنبه سوری,شرکت در مراسم چهارشنبه سوری,Expected
دعوت از اعضای خانواده در جشن تولد,جشن تولد,فرد میزبان در حال پذیرایی از مهمانان,Expected
عدم صحبت در حین سخنرانی دیگران,دانشگاه,یک استاد در حال ارائه درس,Expected
لباس پوشیدن متناسب با محیط,مسجد,گروهی از زنان با چادر و روسری وارد مسجد می شوند,Expected
توهین به ماه مبارک رمضان در فضای مجازی,رمضان,فردی در حال انتشار شوخی ها و طنزهای نامناسب در مورد روزه داری,Taboo
ملاحظه کردن حقوق همسایگان,محله مسکونی,همسایگان در حال تعامل با یکدیگر,Expected
سیگار کشیدن در مکان‌های عمومی,خیابان شهر,یک فرد در حال سیگار کشیدن در خیابان,Normal
گرفتن عکس,تئاتر,تماشاگران در حال گرفتن عکس از صحنه نمایش تئاتر,Taboo
همخوابگی پسر و دختر قبل از ازدواج,خوابگاه دانشجویی,یک زوج دانشجو در حال همخوابگی قبل از ازدواج,Taboo
خودداری از تحقیر و توهین به دیگران,دانشگاه,تعامل دانشجویان با یکدیگر در محیط دانشگاه,Expected
رعایت حجاب در اماکن عمومی,دانشگاه,دانشجویی با پوشش نامناسب در حال عبور از محوطه,Taboo
پذیرایی گرم و صمیمی از میهمانان,ضیافت شام,میزبان در حال پذیرایی از میهمانان در شام,Expected
ترویج مصرف مواد مخدر,فضای مجازی,یک گروه جوانان در یک فضای مجازی,Taboo
ختنه کردن پسران در کودکی بر اساس آیین مذهبی,منزل,خانواده در حال ختنه کردن پسر کوچک خود,Expected
اولویت سالمندان در نشستن,اتوبوس,یک جوان به سالمند جا می دهد,Expected
تجمع و راهپیمایی غیرمجاز,خیابان شهر,در خیابان های شهر بدون مجوز قانونی,Taboo
عدم پرداخت مالیات توسط شهروندان,اداره مالیاتی,افراد در حال امتناع از پرداخت مالیات,Taboo
آشنایی با معماری و شهرسازی سنتی ایرانی,بازار قدیمی,گشت در بازارها و محلات قدیمی شهرهای تاریخی,Expected
تماشای برنامه‌های مناسب تلویزیونی,خانه,خانواده‌ها در حال تماشای سریال‌ها و برنامه‌های مناسب تلویزیون,Expected
ملاقات خانواده دوری که به مناسبت نوروز آمده‌اند,خانه,دیدار جمعی از خانواده‌ای که از شهر دیگری برای نوروز آمده‌اند,Expected
رانندگی پرخطر و خلاف قوانین راهنمایی,خیابان شهر,توسط رانندگان در خیابان های شهر,Taboo
برابری حقوق زن و مرد,جامعه,جامعه فرصت های برابر برای زنان و مردان فراهم می کند,Normal
دایر کردن قمارخانه و شرط بندی غیرقانونی,منزل مسکونی,گروهی در حال برگزاری قمار و شرط بندی در منزل,Taboo
احترام به عقاید و باورهای مذهبی دیگران,مسجد,نمازگزاران در حال رعایت حرمت عقاید مذهبی اقلیت‌ها,Expected
درخواست کمک از دیگران,خیابان شهر,در صورت نیاز و گم شدن در خیابان,Normal
فروش کالاهای غیرمجاز در بازار,بازار سنتی,یک دستفروش در حال عرضه کالاهای قاچاق,Taboo
گرایش به مصرف‌گرایی افراطی,مرکز خرید,خریداران در حال خرید کالاهای لوکس و گران‌قیمت بیش از نیاز واقعی,Expected
رعایت نوبت و آرامش در بانک,بانک,مشتریان در حال رعایت نوبت و سکوت در بانک,Expected
رعایت آداب سنتی در مراسم مذهبی,مراسم روضه خوانی,یک روضه خوان در حال اجرای مراسم روضه خوانی,Expected
رعایت حجاب اسلامی در اماکن عمومی,خیابان شهر,یک زن با پوشش کامل اسلامی در خیابان,Expected
آموزش امور پزشکی و اورژانسی به شهروندان,مراکز آموزش امداد,برگزاری دوره‌های آموزشی برای شهروندان در مواقع اضطراری,Expected
پرهیز از سروصدا,مترو,مسافران در سکوت قرار دارند,Normal
تأکید بر پذیرش تعارف غذا از سوی مهمان,ضیافت شام,مهمانان در حال رد یا قبول تعارف غذا,Expected
بوسیدن دست افراد مسن و بزرگترها,مهمانی خانوادگی,جوانان دست سالمندان و افراد مسن خانواده را می‌بوسند,Normal
آزادی بیان,دانشگاه,دانشجویان درباره موضوعات مختلف بحث می کنند,Normal
اجتناب از تخریب اموال عمومی,دانشگاه,دانشجویان در حال تردد در محوطه دانشگاه,Expected
انتقاد سازنده از محصولات یا خدمات در فضای آنلاین,فضای مجازی,مشتری ناراضی که در مورد تجربه خود با یک برند در وب سایت های امتیازدهی می نویسد,Normal
تبریک گفتن به مناسبت جشن نوروز در فضای مجازی,نوروز,افرادی در حال تبریک گفتن به یکدیگر در شبکه های اجتماعی,Expected
زندگی سنتی و سادگی در چادرنشینی,چادرنشینی,یک خانواده عشایر در حال زندگی در چادر,Normal
اجتناب از ترانه های عاشقانه,مراسم عزاداری,گروه سینه زنی در عزاداری,Expected
قدم زدن و پیاده روی,ساحل دریا,در حاشیه ساحل و کنار دریا,Normal
رعایت آداب معاشرت,باشگاه ورزشی,افراد در حال احترام گذاشتن به یکدیگر و رعایت نوبت در استفاده از امکانات,Expected
اولویت مردان در صف‌های نان و سوخت,نانوایی,جدا کردن صف های مردان و زنان در نانوایی,Expected
رعایت حقوق کودکان در جامعه,مدرسه,معلم با صبر و محبت با دانش آموزان برخورد می کند,Expected
پوشیدن لباس متحدالشکل در مدرسه,مدرسه,دانش آموزان با لباس متحدالشکل در مدرسه,Expected
غیبت از محل کار به منظور شرکت در مراسم عزاداری,محل کار,یک کارمند دولتی در حال ترک محل کار بدون اطلاع,Normal
انجام بازرسی بدنی افراد در ورودی اماکن,ورودی استادیوم ورزشی,تیم بازرسی در حال بازرسی بدنی ورودی های استادیوم,Normal
تبلیغات گسترده و آزاردهنده برای محصولات,فضای مجازی,ارسال پیام های تبلیغاتی ناخواسته در شبکه های اجتماعی,Taboo
احترام به علما و روحانیون,مراسم مذهبی,حاضران به امام جماعت احترام می گذارند,Expected
سر زدن به خانواده در ایام نوروز,جشن نوروز در روستا,فرد در حال دیدار از خانواده در روستا,Expected
تقدیم هدایا به مناسبت های مختلف,مهمانی خانوادگی,میزبان و میهمانان در یک مهمانی,Expected
نوبت گرفتن و رعایت نوبت,مرکز خرید,در یک فروشگاه شلوغ در مرکز خرید,Expected
عدم توجه به آداب ترافیکی,خیابان شهر,رانندگان در حال عدم رعایت قوانین راهنمایی و رانندگی,Expected
رعایت حقوق معلولان در مترو/اتوبوس,مترو/اتوبوس,رانندگان در حال رعایت حقوق معلولان و کمک به آنها در مترو و اتوبوس,Expected
احترام به باورها و عقاید مذهبی دیگران,حرم,زائران در حرم امام رضا(ع),Expected
خودداری از تولید صدای مزاحم,جلسه اداری,کارمندان در حال شرکت در یک جلسه اداری,Normal
رعایت سکوت در نمازخانه محل کار,نمازخانه محل کار,کارمندان در حال رعایت سکوت و آداب در نمازخانه محل کارشان,Expected
نشان دادن ادب و احترام به مقدسات,مسجد,نمازگزاران در حال اقامه نماز در مسجد,Expected
عکس گرفتن از افراد و مناظر,بازار سنتی,در یک بازار سنتی و جاذب گردشگری,Normal
خوردن غذا در حین راه رفتن,خیابان شهر,یک فرد در حال خوردن غذا در حین قدم زدن در خیابان,Normal
رعایت حریم خصوصی دیگران در فضای مجازی,فضای مجازی,کاربران در حال فعالیت در شبکه های اجتماعی,Normal
تحصیل علوم جدید و ترجمه آثار غربی,دانشگاه,دانشجویان در حال تحصیل علوم جدید و ترجمه آثار غربی در دانشگاه,Normal
حمایت از اقشار آسیب پذیر,مؤسسات خیریه,خیرین از محرومان و آسیب دیدگان حمایت می کنند,Expected
برگزاری مراسم چهلم درگذشتگان,خانه,مراسم سوگواری برای یک متوفی,Expected
احترام ویژه به مشایخ و روحانیون,مسجد,مردم در حال ادای احترام به روحانیون در مساجد,Expected
احترام به بقاع متبرکه,حرم,زائران احترام حرم را رعایت می کنند,Expected
رعایت نوبت در صف های خرید,مرکز خرید,مشتریان در صف خرید در فروشگاه,Expected
رقص آزاد و بی بند و بار در مجالس عمومی,سالن عروسی,میهمانان در حال رقص آزاد و برهنه در جشن عروسی,Taboo
پرهیز از هرزه نگاری و آزار دیگران در فضای مجازی,فضای مجازی,یک کاربر در حال ارسال پیام های مزاحم و توهین آمیز برای دیگران,Taboo
اجازه دادن به زنان برای رانندگی,خیابان شهر,زنان می‌توانند رانندگی کرده و از خودروی شخصی استفاده کنند,Normal
برگزاری مراسم خواستگاری سنتی,خانه,یک خانواده در حال برگزاری مراسم خواستگاری سنتی در منزل,Normal
نگاه خیره و سوت زدن به افراد ناشناس,خیابان شهر,یک گروه از مردان جوان در حال سوت زدن به زنان رهگذر,Taboo
ناسزاگویی آشکار در انظار عمومی,خیابان شهر,یک زوج جوان در حال گفتگوی تند و آمیخته با ناسزا,Taboo
رعایت حجاب در تصاویر و ویدیوهای منتشر شده در اینترنت,فضای مجازی,یک زن در حال انتشار عکس خود در شبکه های اجتماعی,Normal
برگزاری انتخابات آزاد برای انتخاب نمایندگان,شهرداری,برگزاری انتخابات آزاد برای انتخاب شهردار و اعضای شورا,Expected
تبلیغ محصولات غیرقانونی در فضای مجازی,فضای مجازی,گروهی در حال فروش مواد مخدر در یک کانال تلگرامی,Taboo
زیارت اهل قبور,گورستان,مردم به زیارت اموات می روند,Expected
دست ندادن زنان با مردان نامحرم,محل کار,یک زن در حال عدم دست دادن با همکار مرد خود,Expected
برگزاری مراسم جشن با رعایت اصول زیست‌محیطی,محل برگزاری جشن,گروهی در حال جمع‌آوری زباله‌ها و خاموش کردن آتش,Expected
اهمیت پوشش مناسب برای مردان در اماکن مذهبی,مسجد,مردان با لباس‌های کاملاً پوشیده در مسجد,Expected
قدردانی و تشکر از زحمات پرسنل و کارکنان,رستوران,صرف غذا در یک رستوران سنتی,Expected
عدم مصرف سیگار در اماکن عمومی,سینما,فردی در حال کشیدن سیگار در سالن سینما,Taboo
خوردن و آشامیدن در حین راه رفتن,خیابان شهر,یک عابر در حال خوردن غذا یا نوشیدن نوشیدنی در خیابان,Taboo
رعایت حقوق معلولان در اماکن عمومی,مرکز خرید,یک فرد معلول در حال استفاده از امکانات ویژه در مرکز خرید,Expected
صبر و شکیبایی در مشکلات,زندگی روزمره,شهروندان در برابر مشکلات صبور و بردبار هستند,Normal
خوردن سحری و افطار کردن,ماه رمضان,مسلمانان روزه دار در ماه رمضان,Expected
گوش دادن به موسیقی بلند,بازار,یک فروشنده در حال پخش موسیقی در مغازه اش,Normal
رعایت قانون و مقررات,دادگاه,وکلا و قضات در جلسه رسیدگی,Expected
پوشش مناسب و متعارف,دانشگاه,در یک محیط آموزشی دانشگاه,Normal
پوشیدن لباس سنتی در روستاها,روستا,روستائیان در حال انجام کارهای روزمره,Normal
سوزاندن پرچم کشورهای دیگر در اعتراضات,خیابان شهر,معترضان در حال سوزاندن پرچم یک کشور دیگر,Normal
قلیان کشیدن در اماکن عمومی,کافه,گروهی از جوانان در حال قلیان کشیدن در کافه,Normal
اجرای رقص های سنتی,جشن عشایر قشقایی,زنان و مردان قشقایی در حال اجرای رقص های سنتی,Expected
قاچاق کالا و ارز,گمرک,گمرکچیان در حال بازرسی کالاها و مسافران,Taboo
پوشیدن لباس متحدالشکل در محیط کار,محل کار,یک کارگر در محیط کارخانه,Normal
احترام به قوانین و مقررات رانندگی,خیابان شهر,راننده در حال رانندگی در خیابان,Expected
گرفتن عکس,موزه,بازدیدکنندگان در حال گرفتن عکس از آثار موزه,Expected
رعایت آداب در مراسم عروسی,جشن عروسی,میهمانان در حال رعایت آداب و رسوم سنتی در یک مراسم عروسی,Normal
رعایت بهداشت در آرایشگاه زنانه,آرایشگاه زنانه,آرایشگران در حال رعایت بهداشت و استریل کردن وسایل در یک آرایشگاه زنانه,Expected
کار کردن زنان در کشاورزی,مزرعه,زنان در حال کار در مزرعه,Normal
روزه خوری کردن برای افراد کهنسال یا بیمار در ماه رمضان,خانه سالمندان,یک سالمند یا بیمار در حال صرف غذا در ساعات روز در ماه رمضان,Normal
انجام بازی های قمار و شرط بندی,قهوه خانه,گروهی از مردان در حال انجام بازی قمار,Normal
اجتناب از لباس‌های کوتاه و نامناسب,دانشگاه,یک دانشجوی دختر با لباس پوشیده با محیط دانشگاه,Expected
آماده سازی نذری برای توزیع,آشپزخانه خانه,یک زن در حال پختن غذای نذری,Expected
آشپزی و پخت غذاهای سنتی برای افطاری در ماه رمضان,خانه,یک زن در حال آماده سازی غذاهای محلی برای افطاری در ماه رمضان,Expected
فساد مالی و رانت خواری در دستگاه های دولتی,اداره دولتی,برخی کارمندان دولت در حال سوءاستفاده مالی و رانت خواری,Taboo
طراحی لباس های زنانه چسبان و کوتاه,شرکت پوشاک,یک شرکت در حال طراحی لباس های زنانه بدن نما,Taboo
اعتراض به نظم و قانون,اداره دولتی,یک شهروند در حال اعتراض به کارمندان اداره,Normal
استفاده درست از وسایل حمل و نقل عمومی,مترو,مسافران در حال سوار و پیاده شدن از مترو,Expected
صحبت نکردن با صدای بلند در بیمارستان,بیمارستان,افراد در محوطه بیمارستان در حال گفتگو,Expected
پرهیز از تمسخر و استهزای دیگران,مدرسه,رفتار با همکلاسی ها در مدرسه,Expected
حجاب اجباری برای زنان در بعضی اماکن دولتی,اداره دولتی,برای زنان شهروند در ادارات دولتی,Expected
نظارت بر پوشش و رفتار شهروندان توسط گشت ارشاد,خیابان شهر,گشت ارشاد در حال نظارت بر پوشش و رفتار مردم در خیابان,Expected
برخورد محترمانه با کارکنان خدماتی,رستوران,مشتریان در حال رفتار محترمانه با پیشخدمت و پرسنل رستوران,Expected
همراهی زوج جوان بدون محرم,مسافرخانه,زوج جوانی محرم در حال ورود به اتاق هتل بدون همراه محرم,Normal
صیانت از میراث فرهنگی و آثار تاریخی,اماکن تاریخی,حفاظت و مرمت آثار تاریخی توسط متخصصان میراث فرهنگی,Expected
حفظ سنت ها در مراسم ازدواج,عروسی,یک زوج جوان در حال برگزاری مراسم عروسی,Expected
دید و بازدید نوروزی,منازل,دیدار و ملاقات در ایام نوروز,Expected
گرامیداشت آداب محلی در روستا,روستا,اهالی روستا در حال گرامیداشت آداب و رسوم محلی,Normal
استفاده صحیح از زبان فارسی در فضای عمومی,مرکز خرید,مردم در حال خرید در یک مرکز خرید,Normal
کمک مالی و حمایت از بازماندگان جنگ,مراسم روضه خوانی,جمع خیریه برای کمک به خانواده شهدا,Expected
تعارف مکرر غذا و نوشیدنی,جشن عشایر قشقایی,میزبان در حال تعارف مکرر غذا و نوشیدنی به میهمانان,Normal
صرف چای در کنار دوستان,کافه,گروهی از دوستان در حال نشستن و صحبت کردن در یک کافه,Normal
اجازه ندادن رانندگی به زنان,خیابان شهر,یک زن در حال رانندگی و مورد اعتراض قرار گرفتن از سوی دیگران,Taboo
گریه و عزاداری برای امام حسین(ع),مراسم روضه خوانی,یک مرد میانسال در حال گریستن در حین روضه خوانی,Expected
عدم احترام به همسایگان,آپارتمان,افرادی با ایجاد سر و صدا در حال آزار همسایگان,Taboo
حفاظت از حیوانات در باغ وحش,باغ وحش,محافظان در حال حفاظت از حیوانات در یک باغ وحش,Expected
صحبت کردن در جلسه اداری بدون اجازه,جلسه اداری,یک کارمند در حال صحبت کردن بدون اجازه در جلسه,Taboo
ادب و متانت,رستوران,مهمانان رفتار متین و آرام دارند,Normal
عدم احترام به نوبت در صف خرید بلیط,صف خرید بلیط,مردم در حال عدم رعایت نوبت در صف خرید بلیط,Taboo
برپایی مراسم مذهبی توسط اقلیت های دینی,کلیسا و کنیسه,پیروان ادیان دیگر در حال برگزاری مراسم مذهبی,Expected
عدم آزار و اذیت حیوانات در باغ وحش,باغ وحش,بازدیدکنندگان در حال تماشای حیوانات,Expected
مصرف گوشت خوک,رستوران,یک مشتری در حال خوردن گوشت خوک در رستوران,Taboo
ابراز احترام به مادربزرگ,خانه مادربزرگ,نوه در حال بوسیدن دست مادربزرگ,Expected
التزام به شئونات اخلاقی و ارزشی,مدرسه,دانش آموزان و معلمان در مدرسه,Expected
استعمال دخانیات در پارک بازی کودکان,پارک,جوانی در حال کشیدن سیگار در پارک بازی کودکان,Taboo
احترام به مقدسات,مسجد,نمازگزاران در مسجد سکوت را رعایت می کنند,Expected
تشویق و حمایت از نوآوری و خلاقیت جوانان,دانشگاه,حضور دانشجویان در رویدادهای علمی دانشگاه,Normal
حضور در مراسم سنتی سده و شرکت در آیین‌ها,محل برگزاری جشن,خانواده‌ای در حال شرکت در مراسم سده,Expected
جشن انگور,ارومیه,جشن برداشت انگور در تاکستان ها,Normal
ریختن آشغال و زباله در معابر عمومی,خیابان شهر,یک فرد در حال پرتاب زباله در خیابان,Taboo
بوسیدن همسر در جمع عمومی,پارک,زوج میانسال در حال قدم زدن در پارک,Normal
دریافت حقوق نجومی توسط مقامات دولتی,ساختمان دولتی,یک وزیر در حال دریافت حقوق بسیار بالا,Normal
رعایت اصول راهنمایی و رانندگی,خیابان شهر,رانندگان از چراغ قرمز عبور نمی کنند,Expected
احترام به بزرگترها با بوسیدن دستشان,مهمانی خانوادگی,یک جوان در حضور اقوام مسن,Expected
رعایت حقوق معنوی هنرمندان,نمایشگاه هنری,بازدیدکنندگان در حال تماشا و قدردانی از آثار هنری,Expected
صحبت کردن یک زوج جوان ,خیابان شهر,زوج جوانی در حال قدم زدن در خیابان,Normal
حفظ سلامتی و بهداشت در اماکن عمومی,بیمارستان,بیماران و همراهان در محوطه بیمارستان,Expected
درخواست رشوه از شهروندان,اداره دولتی,یک کارمند در حال درخواست رشوه برای انجام کارها,Taboo
احترام به والدین و سالخوردگان,مهمانی خانوادگی,در یک میهمانی خانوادگی با حضور بزرگان فامیل,Expected
رعایت حقوق شهروندی در فضای مجازی,فضای مجازی,یک کاربر در حال فعالیت در شبکه های اجتماعی,Normal
رعایت ادب و احترام در برخورد با دیگران,مسجد,نمازگزاران با آرامش و احترام متقابل رفتار می کنند,Expected
انجام اعمال شب قدر,مراسم سحر,زنان در حال عبادت شب قدر در مسجد,Expected
اطاعت از قوانین راهنمایی و رانندگی,بزرگراه,راننده از چراغ قرمز عبور کرده و محدودیت سرعت را رعایت نمی کند,Taboo
دریافت حقوق و مزایای برابر بین زنان و مردان شاغل,شرکت خصوصی,پرداخت حقوق یکسان به زنان و مردان شاغل در شرکت,Expected
خرید و فروش کالاهای قاچاق,بازار سنتی,عرضه و خرید کالاهای قاچاق در برخی مغازه‌های بازار,Expected
ترویج ارزش های اخلاقی و فرهنگی در فضای مجازی,فضای مجازی,یک گروه در حال انتشار محتوای آموزشی اخلاقی در شبکه های اجتماعی,Expected
بی توجهی به حقوق کودکان در جامعه,مدرسه,معلم با بی احترامی با دانش آموزان رفتار می کند,Taboo
پاکیزگی و نظافت در منزل و اماکن عمومی,خیابان شهر,برای شهروندان در خیابان ها و معابر عمومی,Expected
همراه داشتن وسایل بهداشتی,پارک,خانواده ای در حال پیک نیک با ظروف یکبار مصرف,Normal
استقبال و پذیرایی گرم از میهمانان,خانه مادربزرگ,پذیرایی از مهمانان در منزل مادربزرگ,Expected
تشویق به رفتارهای مجرمانه در فضای مجازی,فضای مجازی,گروهی در حال ترویج خشونت و جرم در یک صفحه اینترنتی,Taboo
پرتاب آتش بازی در چهارشنبه سوری,خیابان شهر,گروهی از جوانان در حال پرتاب آتش بازی,Taboo
معرفی آداب اصیل ایرانی به گردشگران,مراکز گردشگری و تاریخی,یک راهنمای گردشگری در حضور توریست ها,Normal
اهدای خون در بیمارستان,بیمارستان,افرادی در حال اهدای خون داوطلبانه در بخش اهدای خون بیمارستان,Expected
شوخی های جنسی در محیط کار,محل کار,همکاران مرد در حال شوخی های جنسی با همکار زن,Taboo
تحویل نگرفتن سفارشات غذایی در ماه رمضان,رستوران,مشتریان در حال سفارش غذا در روز ماه رمضان,Expected
آتش روشن کردن برای کباب‌پزی,روستا,چند خانواده در حال برپا کردن آتش و کباب کردن گوشت در روستا,Normal
مشارکت در آیین های سوگواری,حسینیه,یک خانواده در حال برگزاری مراسم روضه خوانی,Expected
پرهیز از آوازخوانی و موسیقی بلند,مراسم عزاداری,گروهی عزادار در مراسم عزاداری,Expected
خودداری از برهم زدن نظم عمومی,ورزشگاه,تماشاگران در حال تماشای مسابقه,Normal
پوشیدن لباس مناسب برای محیط کار,اداره دولتی,یک کارمند با لباس رسمی در حال ورود به ساختمان اداری,Expected
دادن انعام,کافه,یک مشتری پس از دریافت سرویس,Normal
برهنگی کامل در سواحل عمومی,ساحل دریا,گروهی از افراد در حال برهنگی کامل در ساحل,Taboo
پایبندی به آداب و تشریفات فرهنگی و مذهبی,مجلس عروسی,میهمانان در حال رعایت تشریفات و آداب سنتی در عروسی,Expected
پرخاشگری و درگیری فیزیکی,سینما,دو مرد در حال نزاع و کتک کاری در سالن سینما,Taboo
اولویت دادن به مردان در امور مالی خانواده,منزل,یک خانواده در حال تصمیم گیری درباره امور مالی,Expected
خواندن دعای تحویل سال به هنگام رسیدن لحظه سال نو,خانه,اعضای خانواده که در لحظه تحویل سال دعا می‌خوانند,Expected
اختلاط آزاد دختران و پسران در دانشگاه ها,دانشگاه,دانشجویان دختر و پسر در معاشرت آزادانه در دانشگاه,Normal
بیدار ماندن تا اذان صبح برای صرف سحری,خانه,یک فرد در حال انتظار برای اذان صبح تا بتواند سحری بخورد,Expected
رها کردن سگ های ولگرد در محیط شهری,پارک,حیوانات ولگرد بدون سرپرست در حال آزار شهروندان,Normal
سحرخیزی در ماه رمضان,مراسم سحر,گروهی از مؤمنان در حال شرکت در مراسم سحر,Expected
